Par,ρ_global,ρ_centro,ρ_periferia,Δρ
DTFX ↔ DTFY,0.658,0.688,0.625,-0.063
X ↔ DTFX,-0.085,-0.31,0.062,0.372
Y ↔ DTFY,0.352,0.34,0.351,0.011
MgCO₃ ↔ IMF,-0.871,-0.851,-0.914,-0.064
FeCO₃ ↔ IMF,0.878,0.828,0.928,0.1
IP ↔ IMF,-0.297,-0.253,-0.352,-0.099
